1595921595,Patent_Ochsner/Stella_Nera/01 Sunnechünig.mp3
1595921596,status:::pause
1595944417,Patent_Ochsner/Stella_Nera/01 Sunnechünig.mp3
1595944552,status:::pause
1595960727,Zueri_West/Lied_für_Lotti/01 Lied für Lotti.mp3
1595960924,status:::pause
1595960970,Zueri_West/Lied_für_Lotti/01 Lied für Lotti.mp3
1595961168,status:::pause
1595961182,Zueri_West/Love/Zuri West Schatteboxe.mp3
1595961386,Zueri_West/Love/Zuri West Ggange ohni z'gah.mp3
1595961577,Patent_Ochsner/Schlachtplatte/14_Tscharnimarsch.mp3
1595961684,Zueri_West/Love/Zuri West Verchoufe ds Huus.mp3
1595961897,Zueri_West/Love/Zuri West Schachtar gage Gent.mp3
1595961897,Zueri_West/Love/Zuri West Schachtar gage Gent.mp3
1595961902,status:::pause
1595962835,Zueri_West/Love/Zuri West Schachtar gage Gent.mp3
1595963016,status:::pause
1595965200,status:::stop
